ice,temp
739.6552177,31.36870965
678.0191289,28.71490262
680.4682077,28.852426
616.9202403,26.17306649
710.3604625,30.18872609
680.2483903,28.86194157
677.0417347,28.72153573
655.5066953,27.7864167
673.328773,28.56622916
657.7478089,27.86782429
700.3569402,29.71641901
683.3191115,29.00007143
676.7629783,28.67801215
655.6308826,27.74803068
661.5607233,28.07704921
657.913009,27.90258372
744.3405368,31.58760208
695.8913665,29.54971724
621.9591926,26.35970839
694.6310996,29.45580435
659.5033358,27.98570873
676.2546121,28.68498561
663.2915674,28.09543047
708.059658,30.03080815
690.464443,29.30045061
693.40161,29.40925206
752.6510637,31.91327347
674.7361538,28.58088428
643.8463879,27.28689835
689.0048452,29.17510534
679.6993323,28.84077926
692.8526038,29.37916399
664.8904419,28.20827839
651.5623994,27.58535437
645.634637,27.41742949
658.4778454,27.93638604
678.4016909,28.8276927
693.062893,29.38571084
663.9758354,28.15517514
674.667405,28.57526459
643.3390554,27.28832944
662.2861183,28.06414251
717.3400226,30.41428003
688.1899048,29.19272989
697.2735111,29.5457805
701.9587431,29.70414526
630.55348,26.70191699
704.8140986,29.86224196
665.8483608,28.22253378
647.5642837,27.46980627
668.0653964,28.28961316
618.6879254,26.18861484
722.0816071,30.61615418
648.2023655,27.45303291
704.4010197,29.89494248
714.0750563,30.25110431
661.4724656,28.03418128
702.3711257,29.77562228
649.6974447,27.55784795
711.9644691,30.17291457
712.0388907,30.17710304
664.9861916,28.1587814
696.6684618,29.53686654
727.4910024,30.83460441
686.7963165,29.12615358
678.7719693,28.80196226
727.5259701,30.85678303
704.4339572,29.91866882
658.4656162,27.91429882
685.0649995,29.0819679
649.8856791,27.52707873
651.4524474,27.63594848
682.0008749,28.91410549
698.3543406,29.66221321
736.2723057,31.2780743
652.3915666,27.64108017
696.8957524,29.53071025
672.3315015,28.49151294
651.2701761,27.62020122
703.9206033,29.85866624
674.8956144,28.56344535
681.82064,28.93451377
695.0722566,29.44216583
686.53232,29.12787327
700.3494836,29.72739366
758.4277158,32.18827306
725.5039323,30.78639596
670.6307864,28.44535327
702.1997057,29.76811006
649.9998025,27.60000614
683.5561287,28.98177631
654.4199359,27.76903594
688.4358383,29.23653757
744.9162847,31.58835264
688.0826163,29.19873403
656.5659436,27.78138768
714.4203126,30.35697489
690.2451147,29.28680671
683.0981606,28.99776822
655.1487246,27.78724271
685.380243,29.01557026
659.1415546,27.90384776
670.8365199,28.42686501
712.0309872,30.18222572
686.3525987,29.09841808
688.8156156,29.20904682
711.8158977,30.12463367
662.4849058,28.07891139
702.9152478,29.81982359
695.6053545,29.54065666
746.641493,31.66859048
704.5057229,29.85391653
714.1881025,30.26862037
699.7800984,29.64387319
676.3509722,28.70939289
694.4720962,29.47100768
686.354916,29.11866225
720.9256269,30.57842103
640.6408856,27.1087721
702.7314536,29.84003037
658.9358142,27.93302537
669.2034486,28.40683731
656.1864234,27.8088547
701.3880613,29.7365111
681.8936577,28.88701788
719.292737,30.47991777
676.706629,28.69603838
652.6744632,27.64816083
701.5883071,29.78704738
712.7921473,30.2737683
677.5965495,28.72020869
672.8975997,28.50174179
650.3800123,27.57694496
708.2571443,30.03220314
693.2954119,29.36254907
688.5628452,29.22193311
703.3342696,29.83125988
658.7807631,27.9393766
660.1175703,27.96959217
638.6575018,27.08858488
700.0444028,29.69177046
716.6777985,30.41592922
702.8358039,29.78765734
687.629846,29.16653934
589.2866894,25.00218384
715.3764612,30.35184188
675.2519058,28.62425068
654.4448571,27.73371662
706.7033508,29.96434265
678.7942922,28.76851127
681.7889261,28.90171776
689.4348622,29.24208151
700.7039455,29.65244781
685.0507675,29.01713391
641.6507909,27.17724938
676.4047667,28.68325028
691.4419983,29.28656021
644.4345223,27.29938863
695.2307444,29.47370742
671.6385282,28.49910477
673.2800596,28.55504796
675.5737076,28.65503626
699.2586248,29.6169048
692.9914115,29.34180344
631.8198827,26.80137014
680.0733883,28.85300304
653.0873435,27.68587072
681.8626205,28.91883012
691.86203,29.32285399
640.8830191,27.1876019
731.7022981,31.02223948
664.3138729,28.21684075
678.6748143,28.79343556
663.8310015,28.14629793
700.9973815,29.72265321
690.8220804,29.27473521
669.0221854,28.41358418
639.8569985,27.14661511
714.7147384,30.26438377
748.2993979,31.80418264
714.6970566,30.28109953
684.1440494,29.00758921
643.416475,27.25792621
704.6010994,29.8823413
678.5066804,28.73545741
656.9683409,27.85294823
742.199217,31.49255362
698.0529977,29.61419663
679.8484208,28.83817253
729.5441907,31.00283546
698.5393045,29.58706609
666.2632512,28.32187551
665.0768276,28.18556513
678.6391158,28.80593426
694.0813965,29.42710585
649.3888787,27.5453546
658.816886,27.92590606
693.1609406,29.41925209
644.2495201,27.31483039
696.8867426,29.52114921
662.6743487,28.08758408
632.0334709,26.82436769
690.9994219,29.31323568
608.8867352,25.8434663
686.3545175,29.11701062
721.2649777,30.57803767
680.1955633,28.83383383
679.8555134,28.82149203
659.4491806,27.96179496
669.8449118,28.44964132
691.6356903,29.36793396
671.6495412,28.47011514
662.9246995,28.13386948
703.9894949,29.84262565
728.326917,30.86396848
696.1827365,29.48995874
660.1339537,27.97419452
734.9520858,31.16916597
668.9551643,28.38915098
716.9778925,30.44664362
679.1506479,28.85129707
767.6201252,32.5995679
653.0706079,27.67543825
601.7147477,25.49377528
758.0310878,32.12841972
637.470764,27.04745207
641.7125879,27.21063725
668.6440778,28.30368842
